sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
loss01_noise01_000,loss01_noise01\sequences\loss01_noise01_000.csv,loss01_noise01\sequences\loss01_noise01_000.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_001,loss01_noise01\sequences\loss01_noise01_001.csv,loss01_noise01\sequences\loss01_noise01_001.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_002,loss01_noise01\sequences\loss01_noise01_002.csv,loss01_noise01\sequences\loss01_noise01_002.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_003,loss01_noise01\sequences\loss01_noise01_003.csv,loss01_noise01\sequences\loss01_noise01_003.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_004,loss01_noise01\sequences\loss01_noise01_004.csv,loss01_noise01\sequences\loss01_noise01_004.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_005,loss01_noise01\sequences\loss01_noise01_005.csv,loss01_noise01\sequences\loss01_noise01_005.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_006,loss01_noise01\sequences\loss01_noise01_006.csv,loss01_noise01\sequences\loss01_noise01_006.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_007,loss01_noise01\sequences\loss01_noise01_007.csv,loss01_noise01\sequences\loss01_noise01_007.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_008,loss01_noise01\sequences\loss01_noise01_008.csv,loss01_noise01\sequences\loss01_noise01_008.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_009,loss01_noise01\sequences\loss01_noise01_009.csv,loss01_noise01\sequences\loss01_noise01_009.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_010,loss01_noise01\sequences\loss01_noise01_010.csv,loss01_noise01\sequences\loss01_noise01_010.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_011,loss01_noise01\sequences\loss01_noise01_011.csv,loss01_noise01\sequences\loss01_noise01_011.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_012,loss01_noise01\sequences\loss01_noise01_012.csv,loss01_noise01\sequences\loss01_noise01_012.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_013,loss01_noise01\sequences\loss01_noise01_013.csv,loss01_noise01\sequences\loss01_noise01_013.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_014,loss01_noise01\sequences\loss01_noise01_014.csv,loss01_noise01\sequences\loss01_noise01_014.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_015,loss01_noise01\sequences\loss01_noise01_015.csv,loss01_noise01\sequences\loss01_noise01_015.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_016,loss01_noise01\sequences\loss01_noise01_016.csv,loss01_noise01\sequences\loss01_noise01_016.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_017,loss01_noise01\sequences\loss01_noise01_017.csv,loss01_noise01\sequences\loss01_noise01_017.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_018,loss01_noise01\sequences\loss01_noise01_018.csv,loss01_noise01\sequences\loss01_noise01_018.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_019,loss01_noise01\sequences\loss01_noise01_019.csv,loss01_noise01\sequences\loss01_noise01_019.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_020,loss01_noise01\sequences\loss01_noise01_020.csv,loss01_noise01\sequences\loss01_noise01_020.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_021,loss01_noise01\sequences\loss01_noise01_021.csv,loss01_noise01\sequences\loss01_noise01_021.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_022,loss01_noise01\sequences\loss01_noise01_022.csv,loss01_noise01\sequences\loss01_noise01_022.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_023,loss01_noise01\sequences\loss01_noise01_023.csv,loss01_noise01\sequences\loss01_noise01_023.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
loss01_noise01_024,loss01_noise01\sequences\loss01_noise01_024.csv,loss01_noise01\sequences\loss01_noise01_024.json,0.1,0.1,"1,2,3,4,5","1,2,3,4,5"
