sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
train_000,train\sequences\train_000.csv,train\sequences\train_000.json,0.3113984857588284,0.3128680940999196,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_001,train\sequences\train_001.csv,train\sequences\train_001.json,0.326888724811325,0.2533070750760338,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_002,train\sequences\train_002.csv,train\sequences\train_002.json,0.3801568273797486,0.16518644365750534,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_003,train\sequences\train_003.csv,train\sequences\train_003.json,0.18454554933298384,0.15664632379115367,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_004,train\sequences\train_004.csv,train\sequences\train_004.json,0.41129229384365623,0.3052393206986357,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_005,train\sequences\train_005.csv,train\sequences\train_005.json,0.05022032737268267,0.33489720161360925,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_006,train\sequences\train_006.csv,train\sequences\train_006.json,0.18894759171925962,0.03914948158778814,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_007,train\sequences\train_007.csv,train\sequences\train_007.json,0.13201172606803507,0.19063143442929392,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_008,train\sequences\train_008.csv,train\sequences\train_008.json,0.4220235600558202,0.2627357996190075,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_009,train\sequences\train_009.csv,train\sequences\train_009.json,0.07301257180570292,0.026141709224359155,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_010,train\sequences\train_010.csv,train\sequences\train_010.json,0.274844246167643,0.44172988017541814,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_011,train\sequences\train_011.csv,train\sequences\train_011.json,0.22594030098587736,0.17422494045617853,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_012,train\sequences\train_012.csv,train\sequences\train_012.json,0.2863910781033978,0.009578180207295894,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_013,train\sequences\train_013.csv,train\sequences\train_013.json,0.05839677123450704,0.41795308847374907,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_014,train\sequences\train_014.csv,train\sequences\train_014.json,0.35224113434541543,0.439611106713951,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
train_015,train\sequences\train_015.csv,train\sequences\train_015.json,0.06300018111299499,0.46497305486807544,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
