sequence_name,sequence_path,pulse_index,tag,mapped_label,is_unknown,is_noise
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,0,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,1,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,2,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,3,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,4,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,5,3,1,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,6,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,7,1,0,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,8,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,9,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,10,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,11,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,12,3,1,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,13,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,14,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,15,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,16,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,17,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,18,1,0,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,19,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,20,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,21,3,1,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,22,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,23,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,24,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,25,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,26,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,27,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,28,3,1,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,29,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,30,1,0,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,31,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,32,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,33,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,34,2,-1,1,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,35,3,1,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,36,1,0,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,37,4,2,0,0
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,38,0,-1,0,1
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,39,0,-1,0,1
