tag,known,mode_index,toa,rf,pw,pri,pa,doa,pulse_index,dtoa,mapped_label,is_unknown,is_noise
5,True,1,29.211028788989488,10200.0,4.8135548536809605,29.0,-41.785389807613015,82.24996179567572,0,0.0,2,0,0
2,False,0,39.92737181017692,9863.513554152472,1.2,28.0,-35.4636664219741,76.32664140014498,1,10.716343021187434,-1,1,0
0,True,-1,48.67203631876364,6804.8527051309775,5.911735719076202,,-52.196259550019896,81.3136600503342,2,8.744664508586716,-1,0,1
5,True,1,58.21102878898949,11254.062945416976,4.636971616938142,29.0,-40.910389807613015,82.3009303884678,3,9.53899247022585,2,0,0
0,True,-1,65.23564311371312,1880.7761267424687,4.808293954736668,,-43.61453481338385,80.35355824049307,4,7.024614324723636,-1,0,1
2,False,0,67.92737181017692,9990.32350668036,3.8,28.0,-35.83699975530743,76.4342770912573,5,2.691728696463798,-1,1,0
1,True,0,69.45415147667794,9843.858409294835,8.177046228791198,61.797167621024414,-38.28183656353871,79.5117988050604,6,1.5267796665010138,0,0,0
4,True,0,80.29325885036297,1205.0,4.5483637407321975,59.1,-50.070624461657395,80.086009599197,7,10.839107373685039,1,0,0
0,True,-1,86.66502327185694,11079.621354048251,4.492882762476967,,-35.39326040392094,86.32626078097974,8,6.371764421493964,-1,0,1
5,True,1,87.2110287889895,12300.0,5.796582378324242,29.0,-40.035389807613015,82.34753991504357,9,0.5460055171325564,2,0,0
2,False,0,95.92737181017692,9949.9377201417,1.2,28.0,-36.210333088640766,76.53933425936887,10,8.716343021187427,-1,1,0
0,True,-1,103.14311161248057,8343.268834150946,4.120596764304127,,-47.15033283677807,79.27022627621474,11,7.215739802303645,-1,0,1
0,True,-1,105.93004348483377,3327.8772840422525,6.1097043942779665,,-38.76515574264226,87.65196715772923,12,2.7869318723532075,-1,0,1
0,True,-1,106.11148477720108,12009.103312839521,7.916591019180908,,-38.40938207483346,78.28372596819594,13,0.18144129236731033,-1,0,1
5,True,1,116.2110287889895,10200.0,4.759905619350496,29.0,-39.160389807613015,82.39520471728441,14,10.09954401178841,2,0,0
3,False,0,121.94322249506794,9750.978895655868,8.49346502688674,61.68513107992159,-39.99832021725895,75.54908311123634,15,5.732193706078448,-1,1,0
2,False,0,123.92737181017692,10189.911687188602,3.8,28.0,-36.5836664219741,76.64154362269554,16,1.9841493151089793,-1,1,0
4,True,0,139.39325885036297,1330.4050012549906,4.5866369025641935,59.1,-50.18074150927313,80.09203911960711,17,15.465887040186047,1,0,0
1,True,0,143.92878123685847,9843.858409294835,8.177046228791198,74.47462976018053,-38.177980940829435,79.60287411241607,18,4.535522386495501,0,0,0
5,True,1,145.2110287889895,11254.062945416976,5.193461464109734,29.0,-38.285389807613015,82.44929858341975,19,1.2822475521310253,2,0,0
2,False,0,151.9273718101769,10041.232884354631,1.2,28.0,-36.956999755307436,76.74065587475765,20,6.716343021187413,-1,1,0
5,True,1,174.2110287889895,12300.0,5.990962979819942,29.0,-37.410389807613015,82.51494823635896,21,22.283656978812587,2,0,0
2,False,0,179.9273718101769,9884.862828415016,3.8,28.0,-37.330333088640764,76.83644343308578,22,5.716343021187413,-1,1,0
0,True,-1,193.22344622266056,2793.3150180263165,2.1297063593902488,,-41.40218887364705,87.29117199358762,23,13.296074412483648,-1,0,1
3,False,0,198.41172646077843,9750.978895655868,8.49346502688674,76.46850396571048,-39.976978470384715,75.59358375761043,24,5.188280238117869,-1,1,0
4,True,0,198.493258850363,1437.7460586181444,4.707812149509377,59.1,-50.346103387496,80.09751657547653,25,0.08153238958456654,1,0,0
5,True,1,203.2110287889895,10200.0,4.782163350205783,29.0,-37.464610192386985,82.59683631660513,26,4.717769938626503,2,0,0
0,True,-1,203.95288288371393,7827.846199913243,5.1013175399133175,,-34.31021016169326,77.64252785635416,27,0.741854094724431,-1,0,1
2,False,0,207.9273718101769,9969.191812825029,1.2,28.0,-37.7036664219741,76.92870203554827,28,3.974488926462982,-1,1,0
0,True,-1,209.78889051789253,11199.976035534124,6.992031261870212,,-40.869278236386336,81.84416741545193,29,1.861518707715618,-1,0,1
0,True,-1,213.8128003334175,12196.109821301174,2.4649980600972974,,-51.73750406593637,77.48048189354795,30,4.0239098155249735,-1,0,1
5,True,1,232.2110287889895,11254.062945416976,3.910582331676076,29.0,-38.339610192386985,82.69902143100657,31,18.398228455571996,2,0,0
2,False,0,235.9273718101769,9857.020783584874,3.8,28.0,-38.07699975530743,77.01725217310326,32,3.716343021187413,-1,1,0
1,True,0,235.92878123685847,9843.858409294835,8.177046228791198,92.0,-38.09742689495285,79.69018830980437,33,0.001409426681561854,0,0,0
4,True,0,257.593258850363,1205.0,5.455268854919063,59.1,-50.551056176582826,80.10249707014125,34,21.664477613504516,1,0,0
2,False,0,263.9273718101769,10000.189070064145,1.2,28.0,-38.45033308864077,77.10194034892575,35,6.334112959813922,-1,1,0
0,True,-1,280.7487451821682,8344.708782769003,6.392451817828352,,-35.78614916086143,83.58612068511998,36,16.821373371991285,-1,0,1
5,True,1,281.0610287889895,12300.0,3.775452099903604,48.85,-39.214610192386985,82.82478218277168,37,0.3122836068213246,2,0,0
3,False,0,290.4117264607784,9750.978895655868,8.49346502688674,92.0,-39.931248217746315,75.63438845918097,38,9.350697671788907,-1,1,0
2,False,0,291.9273718101769,10191.899190095695,3.8,28.0,-38.823666421974096,77.18264015507742,39,1.5156453493984827,-1,1,0
1,True,0,297.7259488578828,9843.858409294835,8.177046228791198,61.797167621024414,-38.040739454662756,79.77359656963245,40,5.798577047705919,0,0,0
4,True,0,316.69325885036295,1330.4050012549906,5.626294929738898,59.1,-50.77768917289705,80.107039192763,41,18.967309992480125,1,0,0
2,False,0,319.9273718101769,10173.324232558449,1.2,28.0,-39.19699975530743,77.25925315916763,42,3.234112959813956,-1,1,0
5,True,1,329.91102878898954,10200.0,5.804837589747685,48.85,-40.089610192386985,82.97649117658636,43,9.983656978812633,2,0,0
0,True,-1,339.10704775958743,9169.726488557553,4.76829372672306,,-53.44475583048471,77.43458600722158,44,9.19601897059789,-1,0,1
2,False,0,347.9273718101769,9856.093988084542,3.8,28.0,-39.570333088640766,77.33170959478572,45,8.820324050589477,-1,1,0
3,False,0,352.0968575407,9750.978895655868,8.49346502688674,61.68513107992159,-39.86145022420887,75.67167861905128,46,4.169485730523093,-1,1,0
0,True,-1,365.17406663138604,11964.611048225346,8.569201636508051,,-49.47896899619503,76.44170969101323,47,13.07720909068604,-1,0,1
1,True,0,372.20057861806333,9843.858409294835,8.177046228791198,74.47462976018053,-38.008316241622936,79.85298146165312,48,7.026511986677292,0,0,0
4,True,0,375.793258850363,1437.7460586181444,5.35218446599969,59.1,-51.00699558552759,80.11120460736846,49,3.5926802322996423,1,0,0
5,True,1,378.76102878898956,11254.062945416976,5.615960239549534,48.85,-40.964610192386985,83.15552384074648,50,2.9677699386265886,2,0,0
2,False,0,379.9273718101769,10140.844768831375,1.2,32.0,-39.9436664219741,77.39996885086248,51,1.1663430211873447,-1,1,0
2,False,0,411.9273718101769,10024.997128594154,3.8,32.0,-40.316999755307435,77.46401975652746,52,32.0,-1,1,0
0,True,-1,427.50860653665393,1756.4145708952533,4.680032059803982,,-38.46084590883718,86.05653332053798,53,15.581234726477021,-1,0,1
5,True,1,427.6110287889896,12300.0,6.176089273077279,48.85,-41.839610192386985,83.36220557021984,54,0.10242225233565705,2,0,0
