sequence_name,sequence_path,pulse_index,tag,mapped_label,is_unknown,is_noise
exp4_mixed_train_073,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_073.csv,93,3,2,0,0
exp4_mixed_train_025,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_025.csv,203,3,2,0,0
exp4_mixed_train_078,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_078.csv,8,3,2,0,0
exp4_mixed_train_105,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_105.csv,92,4,3,0,0
exp4_mixed_train_066,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_066.csv,303,3,2,0,0
exp4_mixed_train_043,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_043.csv,19,4,3,0,0
exp4_mixed_train_080,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_080.csv,270,3,2,0,0
exp4_mixed_train_036,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_036.csv,235,1,1,0,0
exp4_mixed_train_021,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_021.csv,369,0,0,0,1
exp4_mixed_train_102,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_102.csv,144,4,3,0,0
exp4_mixed_train_104,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp4\mixed\train\sequences\exp4_mixed_train_104.csv,18,4,3,0,0
