condition,accuracy,mean_recall,mean_precision,mean_iou
loss01_noise01,98.32307692307693,98.32307692307693,98.32544135711481,96.75151791367675
loss02_noise02,98.47368421052632,98.47368421052633,98.47410218479672,97.03106968707222
loss03_noise03,98.60533333333333,98.60533333333332,98.60596810325866,97.28285635147259
loss04_noise04,98.75675675675676,98.75675675675674,98.76820793540973,97.56849691392915
loss05_noise05,98.54722222222222,98.54722222222222,98.55287479531485,97.17553914846799
loss0_noise01,97.79230769230769,97.7923076923077,97.82191341867453,95.7208441806591
loss0_noise02,97.90526315789474,97.90526315789474,97.93198841155345,95.94487745551514
loss0_noise03,97.952,97.952,97.97553991253282,96.02578297718809
loss0_noise04,97.95945945945947,97.95945945945945,97.97809506085764,96.04726842593563
loss0_noise05,98.02222222222223,98.02222222222224,98.05166011014916,96.1583007787436
