condition,ACC_known,OSCR
loss01_noise01,99.95876288659794,99.86897846033939
loss02_noise02,99.93684210526315,99.77398411819021
loss03_noise03,99.96774193548387,99.89295679654681
loss04_noise04,99.94444444444444,99.86657160493829
loss05_noise05,99.9810606060606,99.9042006714876
loss0_noise01,99.7766323024055,99.4887598752967
loss0_noise02,99.8280701754386,99.61432816251154
loss0_noise03,99.75985663082437,99.52065036420395
loss0_noise04,99.87777777777778,99.68115308641976
loss0_noise05,99.76515151515152,99.5477944214876
